team,season,error
Pacific,2023,Missing game_id or date columns
Pat,2023,Missing game_id or date columns
Penn,2023,Missing game_id or date columns
Penn St.,2023,Missing game_id or date columns
Pepperdine,2023,Missing game_id or date columns
Pittsburgh,2023,Missing game_id or date columns
Portland,2023,Missing game_id or date columns
Portland St.,2023,Missing game_id or date columns
Prairie View A&M,2023,Missing game_id or date columns
Presbyterian,2023,Missing game_id or date columns
Princeton,2023,Missing game_id or date columns
Providence,2023,Missing game_id or date columns
Purdue,2023,Missing game_id or date columns
Purdue Fort Wayne,2023,Missing game_id or date columns
Queens,2023,Missing game_id or date columns
Quinnipiac,2023,Missing game_id or date columns
Radford,2023,Missing game_id or date columns
Rhode Island,2023,Missing game_id or date columns
Rice,2023,Missing game_id or date columns
Richmond,2023,Missing game_id or date columns
Rider,2023,Missing game_id or date columns
Robert Morris,2023,Missing game_id or date columns
Rutgers,2023,Missing game_id or date columns
SB,2023,Missing game_id or date columns
SC,2023,Missing game_id or date columns
SEC,2023,Missing game_id or date columns
SIU Edwardsville,2023,Missing game_id or date columns
SMU,2023,Missing game_id or date columns
SWAC,2023,Missing game_id or date columns
Sacramento St.,2023,Missing game_id or date columns
Sacred Heart,2023,Missing game_id or date columns
Saint Francis,2023,Missing game_id or date columns
Saint Joseph's,2023,Missing game_id or date columns
Saint Louis,2023,Missing game_id or date columns
Saint Mary's,2023,Missing game_id or date columns
Saint Peter's,2023,Missing game_id or date columns
Sam Houston St.,2023,Missing game_id or date columns
Samford,2023,Missing game_id or date columns
San Diego,2023,Missing game_id or date columns
San Diego St.,2023,Missing game_id or date columns
San Francisco,2023,Missing game_id or date columns
San Jose St.,2023,Missing game_id or date columns
Santa Clara,2023,Missing game_id or date columns
Seattle,2023,Missing game_id or date columns
Seton Hall,2023,Missing game_id or date columns
Siena,2023,Missing game_id or date columns
Slnd,2023,Missing game_id or date columns
South Alabama,2023,Missing game_id or date columns
South Carolina,2023,Missing game_id or date columns
South Carolina St.,2023,Missing game_id or date columns
South Dakota,2023,Missing game_id or date columns
South Dakota St.,2023,Missing game_id or date columns
South Florida,2023,Missing game_id or date columns
Southeast Missouri St.,2023,Missing game_id or date columns
Southeastern Louisiana,2023,Missing game_id or date columns
Southern,2023,Missing game_id or date columns
Southern Illinois,2023,Missing game_id or date columns
Southern Indiana,2023,Missing game_id or date columns
Southern Miss,2023,Missing game_id or date columns
Southern Utah,2023,Missing game_id or date columns
St. Bonaventure,2023,Missing game_id or date columns
St. Francis NY,2023,Missing game_id or date columns
St. John's,2023,Missing game_id or date columns
St. Thomas,2023,Missing game_id or date columns
Stanford,2023,Missing game_id or date columns
Stephen F. Austin,2023,Missing game_id or date columns
Stetson,2023,Missing game_id or date columns
Stonehill,2023,Missing game_id or date columns
Stony Brook,2023,Missing game_id or date columns
Sum,2023,Missing game_id or date columns
Syracuse,2023,Missing game_id or date columns
TCU,2023,Missing game_id or date columns
Tarleton St.,2023,Missing game_id or date columns
Temple,2023,Missing game_id or date columns
Tennessee,2023,Missing game_id or date columns
Tennessee Martin,2023,Missing game_id or date columns
Tennessee St.,2023,Missing game_id or date columns
Tennessee Tech,2023,Missing game_id or date columns
Texas,2023,Missing game_id or date columns
Texas A&M,2023,Missing game_id or date columns
Texas A&M Corpus Chris,2023,Missing game_id or date columns
Texas Southern,2023,Missing game_id or date columns
Texas St.,2023,Missing game_id or date columns
Texas Tech,2023,Missing game_id or date columns
The Citadel,2023,Missing game_id or date columns
Toledo,2023,Missing game_id or date columns
Towson,2023,Missing game_id or date columns
Troy,2023,Missing game_id or date columns
Tulane,2023,Missing game_id or date columns
Tulsa,2023,Missing game_id or date columns
UAB,2023,Missing game_id or date columns
UC Davis,2023,Missing game_id or date columns
UC Irvine,2023,Missing game_id or date columns
UC Riverside,2023,Missing game_id or date columns
UC San Diego,2023,Missing game_id or date columns
UC Santa Barbara,2023,Missing game_id or date columns
UCF,2023,Missing game_id or date columns
UCLA,2023,Missing game_id or date columns
UMBC,2023,Missing game_id or date columns
UMKC,2023,Missing game_id or date columns
UMass Lowell,2023,Missing game_id or date columns
UNC Asheville,2023,Missing game_id or date columns
UNC Greensboro,2023,Missing game_id or date columns
UNC Wilmington,2023,Missing game_id or date columns
UNLV,2023,Missing game_id or date columns
USC,2023,Missing game_id or date columns
USC Upstate,2023,Missing game_id or date columns
UT Arlington,2023,Missing game_id or date columns
UT Rio Grande Valley,2023,Missing game_id or date columns
UTEP,2023,Missing game_id or date columns
UTSA,2023,Missing game_id or date columns
Utah,2023,Missing game_id or date columns
Utah St.,2023,Missing game_id or date columns
Utah Tech,2023,Missing game_id or date columns
Utah Valley,2023,Missing game_id or date columns
VCU,2023,Missing game_id or date columns
VMI,2023,Missing game_id or date columns
Valparaiso,2023,Missing game_id or date columns
Vanderbilt,2023,Missing game_id or date columns
Vermont,2023,Missing game_id or date columns
Villanova,2023,Missing game_id or date columns
Virginia,2023,Missing game_id or date columns
Virginia Tech,2023,Missing game_id or date columns
WAC,2023,Missing game_id or date columns
WCC,2023,Missing game_id or date columns
Wagner,2023,Missing game_id or date columns
Wake Forest,2023,Missing game_id or date columns
Washington,2023,Missing game_id or date columns
Washington St.,2023,Missing game_id or date columns
Weber St.,2023,Missing game_id or date columns
West Virginia,2023,Missing game_id or date columns
Western Carolina,2023,Missing game_id or date columns
Western Illinois,2023,Missing game_id or date columns
Western Kentucky,2023,Missing game_id or date columns
Western Michigan,2023,Missing game_id or date columns
Wichita St.,2023,Missing game_id or date columns
William & Mary,2023,Missing game_id or date columns
Winthrop,2023,Missing game_id or date columns
Wisconsin,2023,Missing game_id or date columns
Wofford,2023,Missing game_id or date columns
Wright St.,2023,Missing game_id or date columns
Wyoming,2023,Missing game_id or date columns
Xavier,2023,Missing game_id or date columns
Yale,2023,Missing game_id or date columns
Youngstown St.,2023,Missing game_id or date columns
A10,2024,Missing game_id or date columns
ACC,2024,Missing game_id or date columns
AE,2024,Missing game_id or date columns
ASun,2024,Missing game_id or date columns
Abilene Christian,2024,Missing game_id or date columns
Air Force,2024,Missing game_id or date columns
Akron,2024,Missing game_id or date columns
Alabama,2024,Missing game_id or date columns
Alabama A&M,2024,Missing game_id or date columns
Alabama St.,2024,Missing game_id or date columns
Albany,2024,Missing game_id or date columns
Alcorn St.,2024,Missing game_id or date columns
Amer,2024,Missing game_id or date columns
American,2024,Missing game_id or date columns
Appalachian St.,2024,Missing game_id or date columns
Arizona,2024,Missing game_id or date columns
Arizona St.,2024,Missing game_id or date columns
Arkansas,2024,Missing game_id or date columns
Arkansas Pine Bluff,2024,Missing game_id or date columns
Army,2024,Missing game_id or date columns
Auburn,2024,Missing game_id or date columns
Austin Peay,2024,Missing game_id or date columns
B10,2024,Missing game_id or date columns
B12,2024,Missing game_id or date columns
BE,2024,Missing game_id or date columns
BSky,2024,Missing game_id or date columns
BSth,2024,Missing game_id or date columns
BW,2024,Missing game_id or date columns
BYU,2024,Missing game_id or date columns
Ball St.,2024,Missing game_id or date columns
Baylor,2024,Missing game_id or date columns
Bellarmine,2024,Missing game_id or date columns
Belmont,2024,Missing game_id or date columns
Bethune Cookman,2024,Missing game_id or date columns
Binghamton,2024,Missing game_id or date columns
Boise St.,2024,Missing game_id or date columns
Boston College,2024,Missing game_id or date columns
Boston University,2024,Missing game_id or date columns
Bowling Green,2024,Missing game_id or date columns
Bradley,2024,Missing game_id or date columns
Brown,2024,Missing game_id or date columns
Bryant,2024,Missing game_id or date columns
Bucknell,2024,Missing game_id or date columns
Buffalo,2024,Missing game_id or date columns
Butler,2024,Missing game_id or date columns
CAA,2024,Missing game_id or date columns
CUSA,2024,Missing game_id or date columns
Cal Baptist,2024,Missing game_id or date columns
Cal Poly,2024,Missing game_id or date columns
Cal St. Bakersfield,2024,Missing game_id or date columns
Cal St. Fullerton,2024,Missing game_id or date columns
Cal St. Northridge,2024,Missing game_id or date columns
California,2024,Missing game_id or date columns
Campbell,2024,Missing game_id or date columns
Canisius,2024,Missing game_id or date columns
Central Arkansas,2024,Missing game_id or date columns
Central Connecticut,2024,Missing game_id or date columns
Central Michigan,2024,Missing game_id or date columns
Charleston,2024,Missing game_id or date columns
Charleston Southern,2024,Missing game_id or date columns
Charlotte,2024,Missing game_id or date columns
Chattanooga,2024,Missing game_id or date columns
Chicago St.,2024,Missing game_id or date columns
Cincinnati,2024,Missing game_id or date columns
Clemson,2024,Missing game_id or date columns
Cleveland St.,2024,Missing game_id or date columns
Coastal Carolina,2024,Missing game_id or date columns
Colgate,2024,Missing game_id or date columns
Colorado,2024,Missing game_id or date columns
Colorado St.,2024,Missing game_id or date columns
Columbia,2024,Missing game_id or date columns
Connecticut,2024,Missing game_id or date columns
Coppin St.,2024,Missing game_id or date columns
Cornell,2024,Missing game_id or date columns
Creighton,2024,Missing game_id or date columns
Dartmouth,2024,Missing game_id or date columns
Davidson,2024,Missing game_id or date columns
Dayton,2024,Missing game_id or date columns
DePaul,2024,Missing game_id or date columns
Delaware,2024,Missing game_id or date columns
Delaware St.,2024,Missing game_id or date columns
Denver,2024,Missing game_id or date columns
Detroit Mercy,2024,Missing game_id or date columns
Drake,2024,Missing game_id or date columns
Drexel,2024,Missing game_id or date columns
Duke,2024,Missing game_id or date columns
Duquesne,2024,Missing game_id or date columns
East Carolina,2024,Missing game_id or date columns
East Tennessee St.,2024,Missing game_id or date columns
East Texas A&M,2024,Missing game_id or date columns
Eastern Illinois,2024,Missing game_id or date columns
Eastern Kentucky,2024,Missing game_id or date columns
Eastern Michigan,2024,Missing game_id or date columns
Eastern Washington,2024,Missing game_id or date columns
Elon,2024,Missing game_id or date columns
Evansville,2024,Missing game_id or date columns
FIU,2024,Missing game_id or date columns
Fairfield,2024,Missing game_id or date columns
Fairleigh Dickinson,2024,Missing game_id or date columns
Florida,2024,Missing game_id or date columns
Florida A&M,2024,Missing game_id or date columns
Florida Atlantic,2024,Missing game_id or date columns
Florida Gulf Coast,2024,Missing game_id or date columns
Florida St.,2024,Missing game_id or date columns
Fordham,2024,Missing game_id or date columns
Fresno St.,2024,Missing game_id or date columns
Furman,2024,Missing game_id or date columns
Gardner Webb,2024,Missing game_id or date columns
George Mason,2024,Missing game_id or date columns
George Washington,2024,Missing game_id or date columns
Georgetown,2024,Missing game_id or date columns
Georgia,2024,Missing game_id or date columns
Georgia Southern,2024,Missing game_id or date columns
Georgia St.,2024,Missing game_id or date columns
Georgia Tech,2024,Missing game_id or date columns
Gonzaga,2024,Missing game_id or date columns
Grambling St.,2024,Missing game_id or date columns
Grand Canyon,2024,Missing game_id or date columns
Green Bay,2024,Missing game_id or date columns
Hampton,2024,Missing game_id or date columns
Hartford,2024,Missing game_id or date columns
Harvard,2024,Missing game_id or date columns
Hawaii,2024,Missing game_id or date columns
High Point,2024,Missing game_id or date columns
Hofstra,2024,Missing game_id or date columns
Holy Cross,2024,Missing game_id or date columns
Horz,2024,Missing game_id or date columns
Houston,2024,Missing game_id or date columns
Houston Christian,2024,Missing game_id or date columns
Howard,2024,Missing game_id or date columns
IU Indy,2024,Missing game_id or date columns
Idaho,2024,Missing game_id or date columns
Idaho St.,2024,Missing game_id or date columns
Illinois,2024,Missing game_id or date columns
Illinois Chicago,2024,Missing game_id or date columns
Illinois St.,2024,Missing game_id or date columns
Incarnate Word,2024,Missing game_id or date columns
Indiana,2024,Missing game_id or date columns
Indiana St.,2024,Missing game_id or date columns
Iona,2024,Missing game_id or date columns
Iowa,2024,Missing game_id or date columns
Iowa St.,2024,Missing game_id or date columns
Ivy,2024,Missing game_id or date columns
Jackson St.,2024,Missing game_id or date columns
Jacksonville,2024,Missing game_id or date columns
Jacksonville St.,2024,Missing game_id or date columns
James Madison,2024,Missing game_id or date columns
Kansas,2024,Missing game_id or date columns
Kansas St.,2024,Missing game_id or date columns
Kennesaw St.,2024,Missing game_id or date columns
Kent St.,2024,Missing game_id or date columns
Kentucky,2024,Missing game_id or date columns
LIU,2024,Missing game_id or date columns
LSU,2024,Missing game_id or date columns
La Salle,2024,Missing game_id or date columns
Lafayette,2024,Missing game_id or date columns
Lamar,2024,Missing game_id or date columns
Le Moyne,2024,Missing game_id or date columns
Lehigh,2024,Missing game_id or date columns
Liberty,2024,Missing game_id or date columns
Lindenwood,2024,Missing game_id or date columns
Lipscomb,2024,Missing game_id or date columns
Little Rock,2024,Missing game_id or date columns
Long Beach St.,2024,Missing game_id or date columns
Longwood,2024,Missing game_id or date columns
Louisiana,2024,Missing game_id or date columns
Louisiana Monroe,2024,Missing game_id or date columns
Louisiana Tech,2024,Missing game_id or date columns
Louisville,2024,Missing game_id or date columns
Loyola Chicago,2024,Missing game_id or date columns
Loyola MD,2024,Missing game_id or date columns
Loyola Marymount,2024,Missing game_id or date columns
MAAC,2024,Missing game_id or date columns
MAC,2024,Missing game_id or date columns
MEAC,2024,Missing game_id or date columns
MVC,2024,Missing game_id or date columns
MWC,2024,Missing game_id or date columns
Maine,2024,Missing game_id or date columns
Manhattan,2024,Missing game_id or date columns
Marist,2024,Missing game_id or date columns
Marquette,2024,Missing game_id or date columns
Marshall,2024,Missing game_id or date columns
Maryland,2024,Missing game_id or date columns
Maryland Eastern Shore,2024,Missing game_id or date columns
Massachusetts,2024,Missing game_id or date columns
McNeese St.,2024,Missing game_id or date columns
Memphis,2024,Missing game_id or date columns
Mercer,2024,Missing game_id or date columns
Merrimack,2024,Missing game_id or date columns
Miami FL,2024,Missing game_id or date columns
Miami OH,2024,Missing game_id or date columns
Michigan,2024,Missing game_id or date columns
Michigan St.,2024,Missing game_id or date columns
Middle Tennessee,2024,Missing game_id or date columns
Milwaukee,2024,Missing game_id or date columns
Minnesota,2024,Missing game_id or date columns
Mississippi,2024,Missing game_id or date columns
Mississippi St.,2024,Missing game_id or date columns
Mississippi Valley St.,2024,Missing game_id or date columns
Missouri,2024,Missing game_id or date columns
Missouri St.,2024,Missing game_id or date columns
Monmouth,2024,Missing game_id or date columns
Montana,2024,Missing game_id or date columns
Montana St.,2024,Missing game_id or date columns
Morehead St.,2024,Missing game_id or date columns
Morgan St.,2024,Missing game_id or date columns
Mount St. Mary's,2024,Missing game_id or date columns
Murray St.,2024,Missing game_id or date columns
N.C. State,2024,Missing game_id or date columns
NEC,2024,Missing game_id or date columns
NJIT,2024,Missing game_id or date columns
Navy,2024,Missing game_id or date columns
Nebraska,2024,Missing game_id or date columns
Nebraska Omaha,2024,Missing game_id or date columns
Nevada,2024,Missing game_id or date columns
New Hampshire,2024,Missing game_id or date columns
New Mexico,2024,Missing game_id or date columns
New Mexico St.,2024,Missing game_id or date columns
New Orleans,2024,Missing game_id or date columns
Niagara,2024,Missing game_id or date columns
Nicholls St.,2024,Missing game_id or date columns
Norfolk St.,2024,Missing game_id or date columns
North Alabama,2024,Missing game_id or date columns
North Carolina,2024,Missing game_id or date columns
North Carolina A&T,2024,Missing game_id or date columns
North Carolina Central,2024,Missing game_id or date columns
North Dakota,2024,Missing game_id or date columns
North Dakota St.,2024,Missing game_id or date columns
North Florida,2024,Missing game_id or date columns
North Texas,2024,Missing game_id or date columns
Northeastern,2024,Missing game_id or date columns
Northern Arizona,2024,Missing game_id or date columns
Northern Colorado,2024,Missing game_id or date columns
Northern Illinois,2024,Missing game_id or date columns
Northern Iowa,2024,Missing game_id or date columns
Northern Kentucky,2024,Missing game_id or date columns
Northwestern,2024,Missing game_id or date columns
Northwestern St.,2024,Missing game_id or date columns
Notre Dame,2024,Missing game_id or date columns
OVC,2024,Missing game_id or date columns
Oakland,2024,Missing game_id or date columns
Ohio,2024,Missing game_id or date columns
Ohio St.,2024,Missing game_id or date columns
Oklahoma,2024,Missing game_id or date columns
Oklahoma St.,2024,Missing game_id or date columns
Old Dominion,2024,Missing game_id or date columns
Oral Roberts,2024,Missing game_id or date columns
Oregon,2024,Missing game_id or date columns
Oregon St.,2024,Missing game_id or date columns
P12,2024,Missing game_id or date columns
Pacific,2024,Missing game_id or date columns
Pat,2024,Missing game_id or date columns
Penn,2024,Missing game_id or date columns
Penn St.,2024,Missing game_id or date columns
Pepperdine,2024,Missing game_id or date columns
Pittsburgh,2024,Missing game_id or date columns
Portland,2024,Missing game_id or date columns
Portland St.,2024,Missing game_id or date columns
Prairie View A&M,2024,Missing game_id or date columns
Presbyterian,2024,Missing game_id or date columns
Princeton,2024,Missing game_id or date columns
Providence,2024,Missing game_id or date columns
Purdue,2024,Missing game_id or date columns
Purdue Fort Wayne,2024,Missing game_id or date columns
Queens,2024,Missing game_id or date columns
Quinnipiac,2024,Missing game_id or date columns
Radford,2024,Missing game_id or date columns
Rhode Island,2024,Missing game_id or date columns
Rice,2024,Missing game_id or date columns
Richmond,2024,Missing game_id or date columns
Rider,2024,Missing game_id or date columns
Robert Morris,2024,Missing game_id or date columns
Rutgers,2024,Missing game_id or date columns
SB,2024,Missing game_id or date columns
SC,2024,Missing game_id or date columns
SEC,2024,Missing game_id or date columns
SIU Edwardsville,2024,Missing game_id or date columns
SMU,2024,Missing game_id or date columns
SWAC,2024,Missing game_id or date columns
Sacramento St.,2024,Missing game_id or date columns
Sacred Heart,2024,Missing game_id or date columns
Saint Francis,2024,Missing game_id or date columns
Saint Joseph's,2024,Missing game_id or date columns
Saint Louis,2024,Missing game_id or date columns
Saint Mary's,2024,Missing game_id or date columns
Saint Peter's,2024,Missing game_id or date columns
Sam Houston St.,2024,Missing game_id or date columns
Samford,2024,Missing game_id or date columns
San Diego,2024,Missing game_id or date columns
San Diego St.,2024,Missing game_id or date columns
San Francisco,2024,Missing game_id or date columns
San Jose St.,2024,Missing game_id or date columns
Santa Clara,2024,Missing game_id or date columns
Seattle,2024,Missing game_id or date columns
Seton Hall,2024,Missing game_id or date columns
Siena,2024,Missing game_id or date columns
Slnd,2024,Missing game_id or date columns
South Alabama,2024,Missing game_id or date columns
South Carolina,2024,Missing game_id or date columns
South Carolina St.,2024,Missing game_id or date columns
South Dakota,2024,Missing game_id or date columns
South Dakota St.,2024,Missing game_id or date columns
South Florida,2024,Missing game_id or date columns
Southeast Missouri St.,2024,Missing game_id or date columns
Southeastern Louisiana,2024,Missing game_id or date columns
Southern,2024,Missing game_id or date columns
Southern Illinois,2024,Missing game_id or date columns
Southern Indiana,2024,Missing game_id or date columns
Southern Miss,2024,Missing game_id or date columns
Southern Utah,2024,Missing game_id or date columns
St. Bonaventure,2024,Missing game_id or date columns
St. Francis NY,2024,Missing game_id or date columns
St. John's,2024,Missing game_id or date columns
St. Thomas,2024,Missing game_id or date columns
Stanford,2024,Missing game_id or date columns
Stephen F. Austin,2024,Missing game_id or date columns
Stetson,2024,Missing game_id or date columns
Stonehill,2024,Missing game_id or date columns
Stony Brook,2024,Missing game_id or date columns
Sum,2024,Missing game_id or date columns
Syracuse,2024,Missing game_id or date columns
TCU,2024,Missing game_id or date columns
Tarleton St.,2024,Missing game_id or date columns
Temple,2024,Missing game_id or date columns
Tennessee,2024,Missing game_id or date columns
Tennessee Martin,2024,Missing game_id or date columns
Tennessee St.,2024,Missing game_id or date columns
Tennessee Tech,2024,Missing game_id or date columns
Texas,2024,Missing game_id or date columns
Texas A&M,2024,Missing game_id or date columns
Texas A&M Corpus Chris,2024,Missing game_id or date columns
Texas Southern,2024,Missing game_id or date columns
Texas St.,2024,Missing game_id or date columns
Texas Tech,2024,Missing game_id or date columns
The Citadel,2024,Missing game_id or date columns
Toledo,2024,Missing game_id or date columns
Towson,2024,Missing game_id or date columns
Troy,2024,Missing game_id or date columns
Tulane,2024,Missing game_id or date columns
Tulsa,2024,Missing game_id or date columns
UAB,2024,Missing game_id or date columns
UC Davis,2024,Missing game_id or date columns
UC Irvine,2024,Missing game_id or date columns
UC Riverside,2024,Missing game_id or date columns
UC San Diego,2024,Missing game_id or date columns
UC Santa Barbara,2024,Missing game_id or date columns
UCF,2024,Missing game_id or date columns
UCLA,2024,Missing game_id or date columns
UMBC,2024,Missing game_id or date columns
UMKC,2024,Missing game_id or date columns
UMass Lowell,2024,Missing game_id or date columns
UNC Asheville,2024,Missing game_id or date columns
UNC Greensboro,2024,Missing game_id or date columns
UNC Wilmington,2024,Missing game_id or date columns
UNLV,2024,Missing game_id or date columns
USC,2024,Missing game_id or date columns
USC Upstate,2024,Missing game_id or date columns
UT Arlington,2024,Missing game_id or date columns
UT Rio Grande Valley,2024,Missing game_id or date columns
UTEP,2024,Missing game_id or date columns
UTSA,2024,Missing game_id or date columns
Utah,2024,Missing game_id or date columns
Utah St.,2024,Missing game_id or date columns
Utah Tech,2024,Missing game_id or date columns
Utah Valley,2024,Missing game_id or date columns
VCU,2024,Missing game_id or date columns
VMI,2024,Missing game_id or date columns
Valparaiso,2024,Missing game_id or date columns
Vanderbilt,2024,Missing game_id or date columns
Vermont,2024,Missing game_id or date columns
Villanova,2024,Missing game_id or date columns
Virginia,2024,Missing game_id or date columns
Virginia Tech,2024,Missing game_id or date columns
WAC,2024,Missing game_id or date columns
WCC,2024,Missing game_id or date columns
Wagner,2024,Missing game_id or date columns
Wake Forest,2024,Missing game_id or date columns
Washington,2024,Missing game_id or date columns
Washington St.,2024,Missing game_id or date columns
Weber St.,2024,Missing game_id or date columns
West Virginia,2024,Missing game_id or date columns
Western Carolina,2024,Missing game_id or date columns
Western Illinois,2024,Missing game_id or date columns
Western Kentucky,2024,Missing game_id or date columns
Western Michigan,2024,Missing game_id or date columns
Wichita St.,2024,Missing game_id or date columns
William & Mary,2024,Missing game_id or date columns
Winthrop,2024,Missing game_id or date columns
Wisconsin,2024,Missing game_id or date columns
Wofford,2024,Missing game_id or date columns
Wright St.,2024,Missing game_id or date columns
Wyoming,2024,Missing game_id or date columns
Xavier,2024,Missing game_id or date columns
Yale,2024,Missing game_id or date columns
Youngstown St.,2024,Missing game_id or date columns
