team,season,error
Boston College,2021,Missing game_id or date columns
Boston University,2021,Missing game_id or date columns
Bowling Green,2021,Missing game_id or date columns
Bradley,2021,Missing game_id or date columns
Brown,2021,Missing game_id or date columns
Bryant,2021,Missing game_id or date columns
Bucknell,2021,Missing game_id or date columns
Buffalo,2021,Missing game_id or date columns
Butler,2021,Missing game_id or date columns
CAA,2021,Missing game_id or date columns
CUSA,2021,Missing game_id or date columns
Cal Baptist,2021,Missing game_id or date columns
Cal Poly,2021,Missing game_id or date columns
Cal St. Bakersfield,2021,Missing game_id or date columns
Cal St. Fullerton,2021,Missing game_id or date columns
Cal St. Northridge,2021,Missing game_id or date columns
California,2021,Missing game_id or date columns
Campbell,2021,Missing game_id or date columns
Canisius,2021,Missing game_id or date columns
Central Arkansas,2021,Missing game_id or date columns
Central Connecticut,2021,Missing game_id or date columns
Central Michigan,2021,Missing game_id or date columns
Charleston,2021,Missing game_id or date columns
Charleston Southern,2021,Missing game_id or date columns
Charlotte,2021,Missing game_id or date columns
Chattanooga,2021,Missing game_id or date columns
Chicago St.,2021,Missing game_id or date columns
Cincinnati,2021,Missing game_id or date columns
Clemson,2021,Missing game_id or date columns
Cleveland St.,2021,Missing game_id or date columns
Coastal Carolina,2021,Missing game_id or date columns
Colgate,2021,Missing game_id or date columns
Colorado,2021,Missing game_id or date columns
Colorado St.,2021,Missing game_id or date columns
Columbia,2021,Missing game_id or date columns
Connecticut,2021,Missing game_id or date columns
Coppin St.,2021,Missing game_id or date columns
Cornell,2021,Missing game_id or date columns
Creighton,2021,Missing game_id or date columns
Dartmouth,2021,Missing game_id or date columns
Davidson,2021,Missing game_id or date columns
Dayton,2021,Missing game_id or date columns
DePaul,2021,Missing game_id or date columns
Delaware,2021,Missing game_id or date columns
Delaware St.,2021,Missing game_id or date columns
Denver,2021,Missing game_id or date columns
Detroit Mercy,2021,Missing game_id or date columns
Drake,2021,Missing game_id or date columns
Drexel,2021,Missing game_id or date columns
Duke,2021,Missing game_id or date columns
Duquesne,2021,Missing game_id or date columns
East Carolina,2021,Missing game_id or date columns
East Tennessee St.,2021,Missing game_id or date columns
East Texas A&M,2021,Missing game_id or date columns
Eastern Illinois,2021,Missing game_id or date columns
Eastern Kentucky,2021,Missing game_id or date columns
