rank,mae,std,hidden_dims,lr,weight_decay,batch_size,huber_delta
131,11.030072,1.2326272,"[128, 64, 32, 16]",0.002,0.0001,64,1.5
132,11.024675,1.2721406,"[96, 48, 24]",0.0005,0.0001,64,1.5
133,11.014322,1.3035786,"[96, 48, 24]",0.002,1e-05,64,1.5
134,11.030252,1.2754431,"[96, 48, 24]",0.0005,1e-06,64,1.5
135,11.041506,1.2717255,"[128, 64, 32, 16]",0.001,1e-05,64,1.0
136,11.073304,1.2193681,"[128, 64, 32, 16]",0.001,0.0001,64,1.0
137,11.118906,1.1332972,"[128, 64, 32, 16]",0.0005,0.0001,32,1.5
138,11.080832,1.2270736,"[128, 64, 32]",0.002,1e-06,64,1.5
139,11.142133,1.1093714,"[128, 64, 32, 16]",0.0005,1e-06,32,1.5
140,11.10493,1.25415,"[128, 64, 32, 16]",0.002,1e-05,32,1.5
141,11.171055,1.1327152,"[128, 64, 32, 16]",0.0005,0.0001,32,1.0
142,11.150503,1.2492472,"[128, 64, 32]",0.002,1e-05,32,1.0
143,11.30146,1.0455083,"[128, 64, 32, 16]",0.0005,1e-06,64,1.0
144,11.25278,1.1689211,"[128, 64, 32, 16]",0.001,1e-06,64,1.0
