rank,team,team_raw,offensive_efficiency
274,GA Southern,GA Southern(14-10),106.33
275,E. Kentucky,E. Kentucky(7-16),108.34
276,UTEP,UTEP(8-14),102.69
277,Evansville,Evansville(5-17),101.09
278,Grambling State,Grambling State(9-10),101.84
279,Southern,Southern(8-13),101.99
280,Brown,Brown(7-13),96.59
281,Presbyterian,Presbyterian(11-13),104.12
282,UMBC,UMBC(13-8),103.95
283,Longwood,Longwood(12-12),102.54
284,East Texas A&M,East Texas A&M(8-14),101.11
285,IU Indianapolis,IU Indianapolis(6-18),107.01
286,Fairfield,Fairfield(14-10),105.09
287,Chattanooga,Chattanooga(9-14),104.61
288,N. Illinois,N. Illinois(7-14),99.89
289,Loyola-Chicago,Loyola-Chicago(5-18),104.35
290,Bellarmine,Bellarmine(9-13),113.3
291,Houston Christian,Houston Christian(8-14),105.84
292,W. Michigan,W. Michigan(8-13),106.72
293,AR-Pine Bluff,AR-Pine Bluff(8-13),103.9
294,South Dakota,South Dakota(12-12),107.07
295,Delaware,Delaware(6-15),101.79
296,Cleveland State,Cleveland State(9-14),111.04
297,Hampton,Hampton(10-13),101.49
298,Lehigh,Lehigh(10-13),100.31
299,Cent. Michigan,Cent. Michigan(7-15),103.76
300,N. Arizona,N. Arizona(8-15),105.95
301,Morehead State,Morehead State(12-11),106.51
302,Sacred Heart,Sacred Heart(10-14),106.5
303,USC Upstate,USC Upstate(10-13),99.28
304,UNH,UNH(8-13),99.68
305,Boston U,Boston U(8-15),105.81
306,Ball State,Ball State(7-14),99.75
307,Alabama A&M,Alabama A&M(12-9),101.29
308,Cent. Conn. St.,Cent. Conn. St.(11-10),103.87
309,Alabama State,Alabama State(6-15),102.7
310,CSU Bakersfield,CSU Bakersfield(8-15),101.93
311,Mt. St. Mary's,Mt. St. Mary's(10-14),97.33
312,Lafayette,Lafayette(7-16),102.87
313,West Georgia,West Georgia(10-12),102.36
314,Little Rock,Little Rock(9-13),102.84
315,NJIT,NJIT(11-12),98.94
316,Holy Cross,Holy Cross(8-15),101.7
317,Louisiana,Louisiana(7-16),98.65
318,Wagner,Wagner(7-13),103.7
319,Albany,Albany(7-16),100.4
320,Jacksonville,Jacksonville(9-14),99.41
321,E. Illinois,E. Illinois(9-14),95.34
322,Stetson,Stetson(8-15),101.66
323,Oral Roberts,Oral Roberts(5-19),99.5
324,Florida A&M,Florida A&M(8-11),96.93
325,Texas Southern,Texas Southern(6-14),103.21
326,Stonehill,Stonehill(9-14),94.4
327,North Alabama,North Alabama(7-13),100.53
328,S. Indiana,S. Indiana(5-17),93.79
329,New Haven,New Haven(10-12),97.36
330,UNCG,UNCG(8-15),104.83
331,Bucknell,Bucknell(7-16),99.4
332,Fair. Dickinson,Fair. Dickinson(7-16),99.37
333,UMass Lowell,UMass Lowell(9-14),100.46
334,Tenn. Tech,Tenn. Tech(8-14),99.72
335,UMES,UMES(8-14),94.66
336,Loyola,Loyola (MD)(8-15),102.19
337,Manhattan,Manhattan(9-15),103.93
338,Army,Army(10-13),103.04
339,Chicago State,Chicago State(3-19),99.92
340,Norfolk State,Norfolk State(10-14),98.81
341,Bryant,Bryant(7-15),97.49
342,PV A&M,PV A&M(9-13),99.42
343,Maine,Maine(5-18),94.5
344,Alcorn State,Alcorn State(4-16),97.87
345,Canisius,Canisius(8-15),98.21
346,Niagara,Niagara(5-17),97.08
347,The Citadel,The Citadel(8-15),99.42
348,Air Force,Air Force(3-18),95.04
349,North Florida,North Florida(5-18),108.09
350,Kansas City,Kansas City(4-19),95.78
351,Jackson State,Jackson State(6-15),96.99
352,UL Monroe,UL Monroe(3-20),99.08
353,St. Francis,St. Francis (PA)(6-15),96.33
354,NC Central,NC Central(7-12),97.24
355,UTSA,UTSA(4-17),96.46
356,Rider,Rider(3-18),97.95
357,Morgan State,Morgan State(9-13),99.33
358,VMI,VMI(6-17),99.01
359,W. Illinois,W. Illinois(4-19),93.08
360,Delaware State,Delaware State(6-15),88.96
361,Binghamton,Binghamton(5-18),96.12
362,S. Carolina St.,S. Carolina St.(5-16),93.46
363,Gardner-Webb,Gardner-Webb(3-20),91.46
364,Miss. Valley St.,Miss. Valley St.(1-21),89.38
365,Coppin State,Coppin State(3-20),91.36
