game_id,team,player,player_id,position,starter,min,fgm,fga,2pm,2pa,3pm,3pa,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf
401825481,Michigan State Spartans,J. Fears Jr.,4711255,G,True,35.0,9,20,8,15,1,5,12,14,31,5,7,2,4,0,4,1,4
401825481,Michigan State Spartans,J. McCulloch,5239562,F,False,8.0,0,1,0,0,0,1,2,2,2,2,0,1,0,1,0,2,1
401825481,Michigan State Spartans,J. Scott,5196931,F,False,26.0,3,7,2,2,1,5,3,3,10,4,1,1,2,1,2,2,5
401825481,Michigan State Spartans,C. Ward,5101798,F,False,8.0,0,3,0,3,0,0,0,0,0,6,0,3,0,0,3,3,2
401825481,Michigan State Spartans,K. Teng,4873111,G,False,12.0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1
401825481,Michigan State Spartans,T. Fort,4703411,G,False,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401825474,Nebraska Cornhuskers,B. Buyuktuncel,5174982,F,True,36.0,2,9,1,6,1,3,0,0,5,5,4,3,2,1,1,4,2
401825474,Nebraska Cornhuskers,P. Sandfort,4858604,F,True,39.0,6,18,1,2,5,16,3,4,20,4,3,1,0,0,0,4,2
401825474,Nebraska Cornhuskers,C. Jacobsen,5105827,G,True,28.0,4,6,4,6,0,0,0,0,8,1,0,0,4,1,0,1,4
401825474,Nebraska Cornhuskers,J. Lawrence,5105825,G,True,35.0,8,15,4,6,4,9,0,0,20,3,4,6,2,0,1,2,4
401825474,Nebraska Cornhuskers,S. Hoiberg,4897432,G,True,39.0,6,11,5,7,1,4,0,0,13,7,5,0,4,0,2,5,4
401825474,Nebraska Cornhuskers,L. Curtis,5263670,F,False,13.0,3,4,3,4,0,0,0,0,6,1,0,0,1,0,1,0,2
401825474,Nebraska Cornhuskers,J. Garcia,4702740,F,False,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
401825474,Michigan,Y. Lendeborg,5175737,F,True,33.0,3,10,3,4,0,6,4,4,10,3,1,2,0,0,2,1,3
401825474,Michigan,M. Johnson Jr.,4873153,F,True,28.0,5,6,4,4,1,2,6,7,17,12,2,0,0,0,2,10,0
401825474,Michigan,A. Mara,5174983,C,True,25.0,4,4,4,4,0,0,2,4,10,7,2,3,0,1,3,4,2
401825474,Michigan,E. Cadeau,4869764,G,True,33.0,2,9,0,3,2,6,1,2,7,5,7,8,2,0,0,5,2
401825474,Michigan,N. Burnett,4433138,G,True,21.0,4,10,4,5,0,5,1,1,9,1,1,1,1,0,0,1,2
401825474,Michigan,W. Tschetter,4684596,F,False,15.0,2,2,1,1,1,1,2,2,7,0,0,0,0,0,0,0,1
401825474,Michigan,L.J. Cason,5214641,G,False,11.0,1,2,1,2,0,0,0,0,2,0,2,3,1,0,0,0,0
401825474,Michigan,R. Gayle Jr.,5105836,G,False,12.0,1,2,1,1,0,1,0,0,2,1,0,1,0,0,1,0,0
